FECHA,IN0081-Control Presostato No Hay Aire en Red.x,IN0191-Control Automático Extractor Humo,Dbx 27.1,Falta Comunicación PLC Depósito,IN0273-Control Rosca Salida,IN0241-Control Presostato Correa Ventilad. 2 Campana,IN0570-Control Estrella Entrada,IN0054-Señal Ftc Presencia Botella Caída,Estrellas Llenadora,IN0086-Control Sobretemperatura Armario,Alimentador Tapones Vacío,IN0090-Control Automático Motor Cinta,Dbx 35.1,Error Acoplam. Enjuagadora,INA0227-Avería Sonda Presión Circuito Vacío Bajo,IN0034-Control Disp. Automáticos Intervenidos Grave,IN0180-Control Presostato Tratamiento 1,IN0186-Control Presostato Soplado Gotas,IN0377- Ajuste Auto. Anillo Dispositivos,IN0320-IN0321-Leva Desc. Conos Delanteros Desalin.,IN0305-Control Botella Explotada Salida,IN0196-Control Presostato Correa Ventilador 1 Campana Enjuagadora,IN0234-Control Posición Pirómetro,IN0484-Control Bloq. Inversor Motor Cabezales (,Botella Rota TV,IN0954-Control Automáticos Circuitos 480V CA Drive,OUT0031-Mando Disposit. Engrase,IN0052-Señal Bloq. Botellas Activad. de Línea,OUT0204-Lubricación en Curso,Vel. Lenta Seleccionada,INA0227-Vacío Bajo Demasiado Alto,IN0002-Auxiliares No Presentes,IN0047-Señal Lenta de Línea Salida,IN0083-Selector Panel de Mando Volante Habilitado,IN0474-Control Protecciones Delanteras Abiertas,IN0046-Señal Paro de  Línea Salida,IN0040-Señal Ftc Lenta Ninguna Botella Entrada,INA0200-Nivel Mínimo Depósito,INA0227-Vacío Bajo Demasiado Bajo,IN0042-Señal Paro Ftc Acum. Bot. Salida.y,IN0475-Control Protecciones Traseras Abiertas,Señal Ftc Lenta Acum. Bot. Salida,Elevación en Curso,IN0081-Control Presostato No Hay Aire en Red.y,IN0061-Control Presostato No Gas Inerte,INA0200-Nivel Máximo Depósito,Máquina ligeramente Desfasada,IN0594-Control Auto. Motor Ajuste Émbolos,OUT0207-Presión Cilindros Demasiado Baja
2022-10-15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,240,71,144,26,37,137,7,5,49,1,0,0,9,0,3,0,0,0,0,0,0,0
2022-10-17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,90,14,53,5,88,60,46,10,27,0,38,0,2,0,0,3,2,0,0,0,0,0
2022-10-18,0,2,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,217,55,182,25,57,103,13,7,60,2,2,8,10,0,4,0,0,0,0,0,0,0
2022-10-19,0,2,0,2,1,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,278,63,191,43,92,125,22,17,54,11,10,0,6,0,0,0,0,0,0,0,0,0
2022-10-20,0,1,5,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,441,93,105,88,139,175,31,64,126,3,0,0,5,0,11,0,0,0,0,0,0,0
2022-10-21,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,395,71,108,121,154,187,69,58,116,5,3,5,15,0,0,14,0,0,1,0,0,0
2022-10-22,0,1,0,2,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,196,84,117,198,245,97,22,45,21,14,20,11,43,0,0,1,0,0,0,0,0,0
2022-10-24,0,1,5,0,1,5,3,1,5,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,5,54,25,225,0,83,72,0,1,4,1,0,29,1,5,0,0,0,0,0,0
2022-10-25,0,2,2,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,203,82,172,276,342,89,59,87,18,32,27,28,42,0,0,5,0,0,0,0,0,0
2022-10-26,0,4,1,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,285,90,187,228,263,110,55,98,48,51,7,39,49,0,0,0,0,0,0,0,0,0
2022-10-27,0,2,0,10,0,3,2,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,472,87,117,73,114,176,41,46,138,28,22,7,5,0,13,0,0,0,6,0,1,0
2022-10-28,0,2,2,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,536,84,236,109,159,387,101,11,147,33,23,20,34,0,9,5,0,0,0,0,310,0
2022-10-29,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,284,63,121,47,63,164,25,17,60,42,9,2,3,1,3,0,0,0,0,0,0,0
2022-11-02,0,2,2,0,0,3,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,102,42,118,29,101,32,27,28,41,2,5,0,4,0,1,0,2,0,0,0,0,0
2022-11-03,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,241,75,216,27,32,94,18,23,90,4,0,0,8,0,3,0,0,0,0,0,0,0
2022-11-07,0,5,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,134,25,154,64,97,54,72,47,33,0,46,24,1,0,0,4,0,0,0,18,0,0
2022-11-08,0,2,1,7,0,5,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,350,67,202,32,93,203,82,16,105,5,28,0,0,0,2,26,0,0,0,0,0,0
2022-11-09,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,378,101,212,37,45,247,11,0,90,19,7,0,2,0,0,0,0,0,0,0,0,0
2022-11-10,0,2,1,0,0,3,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,264,82,95,44,61,169,31,13,49,16,1,0,3,0,1,2,0,0,0,0,0,0
2022-11-11,0,0,3,1,0,4,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,223,81,106,56,87,83,39,10,47,49,5,0,15,0,0,2,0,0,0,0,0,0
2022-11-12,0,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,305,85,80,24,26,107,1,5,77,52,7,4,4,0,6,0,0,0,0,0,0,0
2022-11-14,0,4,3,1,0,8,12,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,294,50,104,52,156,140,56,24,75,25,37,13,10,0,8,7,0,0,0,0,0,0
2022-11-15,0,2,1,0,0,6,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,181,68,110,48,79,59,20,19,64,7,4,4,11,0,4,0,0,0,0,0,0,0
2022-11-16,0,4,5,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,284,70,200,58,95,124,24,10,67,10,7,0,6,0,0,0,0,0,1,0,0,0
2022-11-17,0,3,2,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,205,55,113,32,55,113,6,5,39,13,5,69,10,0,0,0,0,0,0,0,0,0
2022-11-18,0,3,3,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,365,100,142,77,101,232,45,14,102,17,2,10,12,0,4,0,0,0,0,0,0,0
2022-11-19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,129,41,72,0,0,84,0,0,32,7,0,1,0,0,0,0,0,0,0,0,0,0
2022-11-21,0,3,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,27,120,37,67,48,21,24,44,0,13,1,0,0,2,0,0,0,0,0,0,0
2022-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,3,0,3,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-28,0,2,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40,11,21,0,17,9,0,0,3,1,3,0,0,0,0,0,0,0,0,0
2022-11-29,0,2,2,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,28,39,35,58,0,41,16,0,20,5,13,0,0,0,0,0,0,0,0,0,0
2022-11-30,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,270,93,159,91,111,175,31,6,54,5,1,1,10,0,8,0,0,0,0,0,0,0
2022-12-01,0,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,118,40,43,35,48,77,16,3,22,5,0,1,5,0,0,0,0,0,0,0,0,0
2022-12-02,0,4,1,2,1,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,159,81,96,88,120,76,31,15,35,10,9,16,2,0,1,2,0,0,0,0,0,0
2022-12-03,0,2,0,2,0,4,4,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,276,56,184,87,122,98,26,14,62,39,10,15,3,0,1,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,0,2,9,1,1,3,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,103,26,91,34,125,53,74,23,14,8,48,3,7,0,0,0,2,0,0,0,0,0
2022-12-06,0,1,3,0,1,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,335,90,126,85,98,202,30,46,63,0,1,0,27,0,1,0,0,0,0,0,0,0
2022-12-07,0,3,4,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,170,50,294,175,230,93,199,97,31,14,26,0,26,0,2,1,0,0,12,28,0,0
2022-12-09,0,2,7,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,153,41,207,99,94,49,25,45,42,1,11,11,6,1,2,0,0,0,0,0,0,0
2022-12-10,0,5,1,1,0,2,2,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,313,47,249,83,123,174,78,63,95,15,11,2,0,0,6,0,0,0,2,0,0,0
2022-12-12,0,1,3,0,2,0,0,2,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,47,19,221,50,169,16,79,19,2,18,9,40,1,3,0,3,0,0,63,0,0,0
