FECHA,IN0470-Control Estrella Entrada,IN0517-Control Caja Compresión Abierta,IN0070-Señal Bloqueo Inversor Motor Principal,Estrellas Enjuagadora,Faltan Corchos en Botellas.x,IN0250-Control Presostato Atascamiento Filtro 1 Campana,IN0577-Control Botella Colgada,IN0294-Control Auto. Bomba Vacío Alto,IN0574-Control Protecciones Delanteras Abiertas,IN0575-Control Protecciones Traseras Abiertas,Mando Manual Habilitado,IN0291-Control Auto. Motor Ajuste Depósito,CIP-Señal de CIP de Alarma,Máquina Desfasada,IN0476-Control Protecciones Laterales Abiertas
2023-02-21,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1
2023-02-22,2,0,0,0,0,0,0,0,28,0,0,0,0,0,1
2023-02-23,4,0,1,0,0,0,0,0,21,0,0,0,0,0,0
2023-02-24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
2023-02-25,2,0,2,1,1,0,0,0,5,0,0,0,0,0,0
2023-02-26,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023-02-28,3,0,0,0,0,1,0,0,13,0,0,0,0,0,0
2023-03-01,2,0,0,0,0,0,0,0,15,0,0,0,0,0,4
2023-03-02,1,0,0,1,0,0,0,0,22,0,0,0,0,0,2
2023-03-03,4,1,1,0,0,0,0,0,10,0,0,0,0,0,0
2023-03-04,5,0,0,0,1,0,0,0,19,0,0,1,0,0,0
2023-03-05,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2023-03-08,0,0,6,3,0,1,0,0,13,3,0,0,0,0,0
2023-03-09,1,0,6,0,1,0,0,0,17,0,0,0,0,0,0
2023-03-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
2023-03-11,5,0,0,0,1,0,0,0,8,1,0,0,0,0,0
2023-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-14,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
2023-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0
2023-03-17,1,0,1,1,0,0,0,0,7,0,0,0,0,0,0
2023-03-18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2023-03-19,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0
2023-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,0,0,0,0,0,0,0,0,17,0,0,0,0,0,12
2023-03-23,0,0,4,3,0,0,0,0,22,2,0,0,0,0,19
2023-03-24,2,0,0,0,1,0,0,0,12,0,0,0,0,0,0
2023-03-25,4,0,0,0,0,0,0,0,38,0,0,0,0,0,0
2023-03-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-03-27,2,0,0,0,0,0,0,0,11,0,0,0,0,0,9
2023-03-28,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0
2023-03-29,3,0,0,0,1,0,0,0,50,0,0,0,0,0,0
2023-03-30,6,0,0,0,0,0,0,0,41,1,0,0,0,0,5
2023-03-31,2,1,2,1,0,0,0,0,8,0,0,0,0,0,0
2023-04-01,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2023-04-02,1,0,2,0,0,0,0,0,29,3,0,0,0,0,2
2023-04-03,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2023-04-04,0,0,1,0,0,1,0,0,25,0,0,0,0,0,4
2023-04-05,1,0,2,1,0,0,0,0,32,1,0,0,0,0,3
2023-04-06,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0
